"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","link_pls","anzahl_oeffentliche_pp","id","davon_behinderten_pp","davon_elektro_pp","davon_frauen_pp","davon_klein_pp","anzahl_mobility_pp","geometry"
"","Badenerstrasse 705","","1","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Krone","","10000518","","","","","","","","","","","","","","","","","ph10000518","","","","","","","","","","","","","","37","10000518","1","0","0","0","0","POINT (2678896.2 1249124.4)"
"","Sihlquai 305a","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","KV Zurich Business School","","10000411","","","","","","","","","","","","","","","","","ph10000411","","","","","","","","","","","","","","124","10000411","2","0","11","0","0","POINT (2682024.5 1249386.1)"
"","Baslerstrasse 52","","14","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Letzipark","","10000412","","","","","","","","","","","","","","","","","ph10000412","","","","","","","","","","","","","","1242","10000412","14","4","9","7","0","POINT (2679943.8 1248932.4)"
"","Förrlibuckstrasse 60","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Lidl Förrlibuckstrasse","","10000535","","","","","","","","","","","","","","","","","ph10000535","","","","","","","","","","","","","","30","10000535","0","0","0","0","0","POINT (2681255.5 1249520.2)"
"","Ueberlandstrasse 381","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Lidl Schwamendingen","","10000486","","","","","","","","","","","","","","","","","ph10000486","","","","","","","","","","","","","","28","10000486","2","0","0","0","0","POINT (2686493 1251406.8)"
"","Wehntalerstrasse 625","","1","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Lidl Wehntalerstrasse","","10000533","","","","","","","","","","","","","","","","","ph10000533","","","","","","","","","","","","","","20","10000533","1","0","0","0","0","POINT (2680022.2 1252948.9)"
"","Hardturmstrasse 126b","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Limmat West","","10000454","","","","","","","","","","","","","","","","","ph10000454","","","","","","","","","","","","","","29","10000454","0","0","0","0","0","POINT (2681108 1249750.2)"
"","Spirgartenstrasse 5","","1","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Lindenplatz","","10000523","","","","","","","","","","","","","","","","","ph10000523","","","","","","","","","","","","","","21","10000523","1","0","0","0","0","POINT (2679008 1249026.5)"
"","Hopfenstrasse 11","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Manesseparkhaus","","10000514","","","","","","","","","","","","","","","","","ph10000514","","","","","","","","","","","","","","14","10000514","0","0","0","0","0","POINT (2681735.8 1246593.2)"
"","Neumühlequai 42","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Marriot I","","10000408","","","","","","","","","","","","","","","","","ph10000408","","","","","","","","","","","","","","73","10000408","0","2","0","0","0","POINT (2683202.5 1248539.4)"
"","Wasserwerkstrasse 8","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Marriot II","","10000409","","","","","","","","","","","","","","","","","ph10000409","","","","","","","","","","","","","","29","10000409","0","0","0","0","0","POINT (2683246.8 1248559.1)"
"","Ellen-Widmann-Weg 2","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Max Bill-Platz","","59","","","","","","","","","","","","","","","","","ph059","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/max_bill_platz.jsp?pid=max_bill_platz","98","59","2","0","0","0","0","POINT (2683049.2 1252073.2)"
"","Limmattalstrasse 166","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Meierhofplatz 1","","10000427","","","","","","","","","","","","","","","","","ph10000427","","","","","","","","","","","","","","13","10000427","0","0","0","0","0","POINT (2680145 1250662.9)"
"","Hagenholzstrasse 50","","7","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Messe","","41","","","","","","","","","","","","","","","","","ph041","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/messe.jsp?pid=messe","1839","41","7","0","24","24","0","POINT (2684128.8 1252050.9)"
"","Albisriederstrasse 367","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Migros Albisrieden","","10000462","","","","","","","","","","","","","","","","","ph10000462","","","","","","","","","","","","","","25","10000462","0","0","0","0","0","POINT (2679060.2 1247656.1)"
"","Löwenstrasse 33","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Migros City","","10000527","","","","","","","","","","","","","","","","","ph10000527","","","","","","","","","","","","","","37","10000527","2","0","0","0","0","POINT (2682895 1247721.8)"
"","Pfingstweidstrasse 101","","12","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Migros Herdern","","10000445","","","","","","","","","","","","","","","","","ph10000445","","","","","","","","","","","","","","576","10000445","12","2","0","7","0","POINT (2680816.8 1249375.2)"
"","Wagnergasse 16","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Migros Kreuzplatz","","10000509","","","","","","","","","","","","","","","","","ph10000509","","","","","","","","","","","","","","25","10000509","2","0","0","0","0","POINT (2684229.2 1246547.8)"
"","Gasometerstrasse 47","","6","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Migros Limmatplatz","","10000429","","","","","","","","","","","","","","","","","ph10000429","","","","","","","","","","","","","","363","10000429","6","2","0","8","0","POINT (2682467.8 1248883.4)"
"","Frohburgstrasse 1","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Migros Rigiplatz","","10000416","","","","","","","","","","","","","","","","","ph10000416","","","","","","","","","","","","","","55","10000416","2","0","0","0","0","POINT (2683810.2 1248984.8)"
"","Schaffhauserstrasse 470a","","3","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Migros Seebach","","10000471","","","","","","","","","","","","","","","","","ph10000471","","","","","","","","","","","","","","69","10000471","3","0","0","0","0","POINT (2683743.8 1252675.1)"
"","Burstwiesenstrasse 5","","2","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Migros Wiediker Markt","","10000398","","","","","","","","","","","","","","","","","ph10000398","","","","","","","","","","","","","","105","10000398","2","0","0","0","0","POINT (2680773.8 1247148.4)"
"","Etzelstrasse 3","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Migros Wollishofen","","10000492","","","","","","","","","","","","","","","","","ph10000492","","","","","","","","","","","","","","35","10000492","0","0","0","0","0","POINT (2682492 1244328.5)"
"","Seefeldstrasse 229a","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Mühle Tiefenbrunnen","","10000452","","","","","","","","","","","","","","","","","ph10000452","","","","","","","","","","","","","","35","10000452","0","0","0","0","0","POINT (2684861.8 1245083)"
"","Naglerwiesenstrasse 2","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Naglerwiesenstrasse","","10000469","","","","","","","","","","","","","","","","","ph10000469","","","","","","","","","","","","","","21","10000469","0","0","0","0","0","POINT (2678810.8 1251860.4)"
"","Siewerdtstrasse 84","","0","","","","10.12.2023 01:37","","","","","","","","","","","Parkhaus","","Neudorf","","10000415","","","","","","","","","","","","","","","","","ph10000415","","","","","","","","","","","","","","103","10000415","0","0","0","0","0","POINT (2684297.5 1251852.5)"
