"id","lokalisationsname","temporegime","temporegime_technical","umgesetzt_datum","rechtskraeftig_datum","publiziert_vsi_datum","ausnahmen_fahrverbot","fahrverbot_ssv","objectid","geometry"
"2867","Oskar-Bider-Strasse","T30","T30","","","","","","1579","LINESTRING (2682926.2 1249864.6,2683006.2 1249917.8)"
"2955","Bucheggstrasse","T50","T50","","","","","","1596","LINESTRING (2682956 1250305.9,2682956 1250313.1,2682978.2 1250319.4)"
"1767","Abeggweg","Fahrverbot","T0","","","","","","1602","LINESTRING (2682744 1249785.6,2682693 1249865.2)"
"728","Langfurren","T30","T30","","","","","","1617","LINESTRING (2683418.8 1250615.8,2683369.5 1250658.2,2683337.5 1250685.9,2683307.5 1250715.5,2683279.2 1250747,2683215.8 1250823.5)"
"885","Stüssistrasse","T30","T30","","","","","","1642","LINESTRING (2683186 1249821.2,2683186 1249821.2,2683190.2 1249835.8,2683195.5 1249850,2683202.2 1249863.6,2683210 1249876.6,2683218.8 1249888.9,2683228.8 1249900.4)"
"583","Im Birkenhof","T20","T20","","","","","","1701","LINESTRING (2683078.5 1249939,2683063 1249918,2683061.2 1249918.8,2683058.2 1249920.5,2683079.2 1249948.6,2683078.5 1249949.1)"
"311","Guggerweg","Fahrverbot","T0","","","","","","1727","LINESTRING (2683114.8 1250218.2,2683146.5 1250240.1)"
"356","Begonienstrasse","T30","T30","","","","","","1734","LINESTRING (2683586.2 1250722.6,2683522.8 1250774.6,2683508 1250784.9)"
"3082","Schürbungert","T30","T30","","","","","","1800","LINESTRING (2682925 1250572.4,2682936.8 1250578.9,2682948.2 1250586.2,2682959 1250594.6,2682969 1250603.8,2682990.8 1250626.9,2683010.2 1250645.4,2683016.5 1250651,2683028.2 1250660.9,2683036.8 1250671.1)"
"3135","Ilanzhofweg","Fahrverbot","T0","","","","","","1808","LINESTRING (2683091.8 1249788.8,2683128.8 1249790.2,2683182.8 1249790.6)"
"3256","Guggerweg","T30","T30","","","","","","1830","LINESTRING (2683069.5 1250187.1,2683114.8 1250218.2)"
"3363","Milchbuckstrasse","Fahrverbot","T0","","","","","","1850","LINESTRING (2683464.5 1249823.2,2683523 1249821.2)"
"541","Irchelstrasse","T50","T50","","","","","","2055","LINESTRING (2683214.5 1250143.5,2683261 1250131.1,2683301 1250119.8,2683367.2 1250100.8,2683385.5 1250095.9,2683470.8 1250072.9,2683534 1250055.5,2683537.8 1250054.4,2683554.5 1250049.1)"
"519","Ilanzhofweg","Fahrverbot","T0","","","","","","2086","LINESTRING (2683183 1249806.4,2683223 1249804.8,2683240.2 1249806.8,2683250.2 1249807.5,2683276.2 1249800.2)"
"520","Im Birkenhof","T20","T20","","","","","","2087","LINESTRING (2683067 1250055.6,2683062 1250048.6,2683065 1250047,2683062 1250044.4,2683054.5 1250034.9,2683053 1250031.5,2683053 1250029.4,2683055 1250027.5,2683108.8 1249990,2683118.2 1250002.5,2683119.8 1250004.8,2683121.5 1250003.2)"
"639","Schlatterweg","T20","T20","","","","","","2125","LINESTRING (2683098 1249831.5,2683059.2 1249900.9,2683054 1249911.2,2683061.2 1249918.8)"
"680","Seminarstrasse","T20","T20","","","","","","2140","LINESTRING (2682804.5 1249809.5,2682795.2 1249822,2682786 1249837,2682746.5 1249898.2,2682736.5 1249912.4,2682735.5 1249913.8)"
"669","Seminarstrasse","T30","T30","","","","","","2177","LINESTRING (2682735.5 1249913.8,2682721.2 1249930.5,2682704.2 1249947.1,2682686 1249962.2,2682681.5 1249965.2,2682677.5 1249968.5,2682673.8 1249972.1,2682670.2 1249976.1,2682667 1249980.4,2682664.2 1249984.9,2682661.8 1249989.6,2682659.8 1249994.5,2682658.2 1249999.6,2682657.2 1250004.8,2682646.8 1250047,2682646 1250051.4,2682645.5 1250055.9,2682645.5 1250060.4,2682645.8 1250064.9,2682646.5 1250069.2,2682647.8 1250073.6,2682649.2 1250077.9,2682651.2 1250081.9,2682653.5 1250085.8,2682656.2 1250089.5,2682659 1250092.9,2682662.2 1250096,2682684 1250116.5,2682688.8 1250127.5)"
